route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
8164,2,5363117,Potrero & 16th St.,1,409258,95872
8164,2,5363116,Potrero & 16th St.,1,409255,95872
8164,2,5363115,Potrero & 16th St.,1,409246,95872
8164,2,5363114,Potrero & 16th St.,1,409253,95872
8164,2,5363113,Potrero & 16th St.,1,409254,95872
8164,2,5363112,Potrero & 16th St.,1,409250,95872
8164,2,5363111,Potrero & 16th St.,1,409252,95872
8164,2,5363110,Potrero & 16th St.,1,409247,95872
8164,2,5363109,Potrero & 16th St.,1,409251,95872
8164,2,5363108,Potrero & 16th St.,1,409256,95872
8164,2,5363037,Potrero & 16th St.,1,409262,95872
8164,2,5363036,Potrero & 16th St.,1,409261,95872
8164,2,5363035,Potrero & 16th St.,1,409260,95872
8164,1,5362739,Fillmore St & Sutter St.,1,409245,95873
8164,2,5363121,Fillmore St & Sutter St.,1,409267,95873
8164,2,5363089,the Marina District,1,409251,95868
8164,2,5363088,the Marina District,1,409246,95868
8165,3,5364419,Sloat & 47th Av.,0,409375,95874
8165,3,5364418,Sloat & 47th Av.,0,409377,95874
8165,3,5364417,Sloat & 47th Av.,0,409376,95874
8165,3,5364416,Sloat & 47th Av.,0,409375,95874
8165,3,5364415,Sloat & 47th Av.,0,409374,95874
8165,2,5364246,Sloat & 47th Av.,0,409365,95874
8165,2,5364245,Sloat & 47th Av.,0,409366,95874
8165,2,5364244,Sloat & 47th Av.,0,409364,95874
8165,2,5364243,Sloat & 47th Av.,0,409365,95874
8165,2,5364242,Sloat & 47th Av.,0,409361,95874
8165,2,5364241,Sloat & 47th Av.,0,409364,95874
8165,2,5364240,Sloat & 47th Av.,0,409362,95874
8165,2,5364239,Sloat & 47th Av.,0,409361,95874
8165,2,5364238,Sloat & 47th Av.,0,409363,95874
8165,2,5364237,Sloat & 47th Av.,0,409362,95874
8165,2,5364236,Sloat & 47th Av.,0,409361,95874
8165,2,5364235,Sloat & 47th Av.,0,409360,95874
8165,1,5364156,Sloat & 47th Av.,0,409355,95874
8165,1,5364155,Sloat & 47th Av.,0,409353,95874
8165,1,5364154,Sloat & 47th Av.,0,409358,95874
8165,1,5364153,Sloat & 47th Av.,0,409357,95874
8165,1,5364152,Sloat & 47th Av.,0,409355,95874
8165,1,5364151,Sloat & 47th Av.,0,409358,95874
8165,1,5364150,Sloat & 47th Av.,0,409357,95874
8165,1,5364149,Sloat & 47th Av.,0,409355,95874
8165,1,5364148,Sloat & 47th Av.,0,409352,95874
8165,1,5364147,Sloat & 47th Av.,0,409355,95874
8165,1,5364146,Sloat & 47th Av.,0,409354,95874
8165,1,5364145,Sloat & 47th Av.,0,409353,95874
